0,1,2
access and egress to work area,collision with site traffic,wear highly visible ppe at all times while on site
accessandegress test lift of ssdp hatch,injuryanddeath incurred from slips trips or falls,provide and adhere to designated walkways
break times,"contracting and spread of covid 19 disease,contracting and spread of covid 19 disease,contracting and spread of covid 19 disease,contracting and spread of covid 19 disease,contracting and spread of covid 19 disease,contracting and spread of covid 19 disease,contracting and spread of covid 19 disease","do not congregate around singular tables space out where possible in the drying room and canteen,full time cleaner to be employed to clean between breaks focus on surfaces and high contact areas microwaves,regularly washandsanitize hands ¢ breaks will be staggered and noted on rota put on canteen door,° wearing face coverings when we can't stay 2m apart ° use of screens to separate areas and people ¢ working side to side or back to back ° minimising the amount of time you spend with people outside your household ° increased hand washing and cleaning of high use touch points,do not congregate around singular tables space out where possible,regularly washandsanitize hands breaks will be staggered and noted on rota put on canteen door,stay a safe distance from individuals by following government guidelines on social distancing 2 metre rule or 1m with risk mitigation where 2m is not viable"
brickwork repairs,"falling object,mobile telephones,working at height,manual handling,coronavirus covid,excavation,working on or near the line,coronavirus covid,public interface,buried services,excavation,mobile telephones,plant vehicle movements,excavation,excavation,buried services,contamination,falling object,contamination,working on or near the line,plant vehicle movements,noise,refuelling plant,temporary storage materials striking a train,noise,slips,refuelling plant,working on or near the line,manual handling,encountering damaged cables,coshh,hazard substance,staff being struck by a train or otm,encountering damaged cables,refuelling plant,temporary storage materials striking a train,staff being struck by a train or otm,syringes sharps,working at height,falling object,falling object,refuelling plant,temporary storage materials striking a train,syringes sharps,slips,refuelling plant,staff being struck by a train or otm,refuelling plant,plant vehicle movements,refuelling plant,mobile telephones,staff being struck by a train or otm,public interface,syringes sharps,excavation,buried services,hazard substance,manual handling,excavation,coronavirus covid,dust,staff being struck by a train or otm,mobile telephones,plant vehicle movements,working on or near the line,syringes sharps,temporary storage materials striking a train,contamination,falling object,syringes sharps,mobile telephones,encountering damaged cables,coshh,buried services,syringes sharps,manual handling,staff being struck by a train or otm,manual handling,hazard substance,working at height,mobile telephones,refuelling plant,mobile telephones,working at height,manual handling,refuelling plant,coshh,encountering damaged cables,manual handling,public interface,temporary storage materials striking a train,manual handling,buried services,noise,temporary storage materials striking a train,falling object,staff being struck by a train or otm,noise,buried services,mobile telephones,working on or near the line,coshh,coshh,coshh,buried services,buried services,buried services,buried services,coshh,excavation,syringes sharps,encountering damaged cables,noise,buried services,public interface,coronavirus covid","use of suitable personal protective equipment ppe head protection consider personal positioning and be aware of adjacent activities,mobile telephones to be switched off unless required for safety critical management duties,permit to work at height in place,split loads into manageable lifts 2 man lifts if required,social distancing always,barriers to be installed at least 1m from top of excavations to maintain exclusion zone,inexperienced staff will be accompanied by a mentor,social distancing always,only licensed vehicles on public highway care around parked cars no plant to park on pavements caution to be exercised when at crossings and pavements banksman control at site entrances,buried services drawings to be attached to permit and briefed to all involved,inspections of all excavations to be carried out at the start of every shift and after inclement weather,if the need to use a mobile telephone arises you must agree with the supervisoandrcoss that you can use it,banksman to marshal delivery wagons when entering and exiting site,access into excavations to be restricted to necessary persons only,all excavations to be assessed by the engineer supervisor and batteredandstepped as necessary in accordance with tw design if required,avoid continuous exposure,gloves to be worn at all times,exclusion zone to be set up around the works,eating only permitted in vehicles after hand cleansing,inexperienced staff will be accompanied by a mentor,segregate pedestrian and vehicle routes banksman to manage plant and vehicle movements,hearing protection in place exclusion zones around driving activities ear defenders during multiple acoustic blankets to be used on nights to reduce noise pollution use of a pedroller to compact tarmacstone and other manual tools over mechanical vehicles to have engines switched off when not in use,coshh data sheets to be available on site and briefed to operatives working with hazardous materials,do not stack palletised materials in case they become unstable,hearing protection in place exclusion zones around driving activities ear defenders during noisy activity,trips and falls,appropriate ppe to be worn refuelling of plant is to be undertaken away from the work area,support staff will set up the ssow in accordance with rule book task leader setting up a safe system of work within a possession be aware of the operational railway,split loads into manageable lifts 2 man lifts if required,avoidance of cables where practicable,coshh to be stored in coshh approved areaandstorage containers,trained and experienced operatives,operatives briefed by the coss on the safe system of work,notification to the utility service if the service is seen to be suspect,nappies to be placed under the plant when refuelling and funnels are used to ensure direct access into fuel tank,store materials in secure locked containers wherever possible,careful planning of work,take note of the location and inform sco,edge protection must be in place,use of suitable personal protective equipment ppe head protection consider personal positioning and be aware of adjacent activities,good housekeeping in place to ensure nothing is stored in such a way that it will fall from height,coshh assessments briefed to all persons involved with refuelling procedure ensure a spill kit is readily available and in close proximity when refuelling ensure suitable fire extinguishing media is in close proximity when refuelling ensure suitable plant nappy is placed under petrol driven plant ensure funnels are utilised to allow direct flow of fuel into fuel tank all fuel to be stored in correct containers and appropriately labelled all fuel cans to be stored in a safe location to prevent spark or fire funnels to be utilised as to ensure fuel is poured directly into the fuel tank without spillages,keep access routes clear of tools,take note of the location and inform nds,trips and falls,all fuel cans to be stored in a safe place to prevent a spark or fire funnels to be utilised as to ensure fuel is poured straight into tank avoiding spillages,coss appointed for works on or near the line,ensure only trained personnel are used to refill any plant on site appropriate ppe is worn at all times,close all access gates following deliveries,emergency spillage cleanup companies to be in place prior to works starting in case of incident all fuel to be stored in correct containers which are appropriately labelled,if the need to use a mobile telephone arises you must agree with the supervisorandcoss that you can use it,pts trained workforce and supervision,only licensed vehicles on public highway care around parked cars no plant to park on pavements caution to be exercised when at crossings and pavements banksman control at site entrances,take note of the location and inform sco 247,exclusion zones to be set up to ensure excavation faces are not loaded with surcharge,use of curotec system to monitor exposure levels,use under technical and manufactures specifications wear correct ppe overalls,split loads into manageable lifts two man lifts if required,a temporary works assessment to be carried out in advance and if required twd to be implemented,briefings to be signed by the person giving the brief operatives receiving briefings to give authority for name to be placed onto the signing on area one person per car person per pick up excellent hygiene all operatives to be briefed on the covid project continuity plan,correct ppe to be worn at all times ear defenders,pos representation system of work and ensure clear understanding of responsibilities,mobile telephones to be switched off unless required for safety critical management duties,trained competent operators and banksman,inexperienced staff will be accompanied by a mentor,operatives to be briefed on the presence of the sharps,employ site security personnel site access controllers where appropriate,contact with contaminated locations identified in the hazard directory to be avoided,exclusion zone to be set up around the works,exclusion zone to be established around the sharps,if the need to use a mobile telephone arises you must agree with the supervisor coss that you can use it,remote visual inspection to determine damage to cables before inspectionandmeasurement,do not leave coshh with medium risk unattended,select power tools with lowest vibration levels,all staff to remain vigilant and if encountered vacate the area,use mechanical aids instead of manual handling if possible use mandatory ppe gloves to protect against cuts and safety boots to protect from falling loads,ensure safe system of work ssow in place applicable to the task activity,use mechanical aids instead of manual handling if possible use mandatory ppe gloves to protect against cuts and safety boots to protect from falling loads,trained and experienced operatives coshh certs to be in place and operatives briefed,work at height kept to a minimum with other options considered beforehand,mobile telephones to be switched off unless required for safety critical management duties,emergency spillage cleanup companies to be in place prior to works starting in case of incident all fuel to be stored in correct containers which are appropriately labelled,if the need to use a mobile telephone arises you must agree with the supervisorandcoss that you can use it,other methods of works must be considered,use mechanical aids instead of manual handling if possible use mandatory ppe gloves to protect against cuts and safety boots to protect from falling loads,cleaning kits to be available at all times,exposure times as per coshh assessment states,remote visual inspection to determine damage to cables before inspection,use mechanical aids instead of manual handling if possible use mandatory ppe gloves to protect against cuts and safety boots to protect from falling loads,only licensed vehicles on public highway care around parked cars no plant to park on pavements caution to be exercised when at crossings and pavements banksman control at site entrances,wherever possible remove all materials and equipment from site at the end of each shift,split loads into manageable lifts 2 man lifts if required,permit to break the ground,hearing protection in place exclusion zones around driving activities ear defenders during noisy activity,materials stored on the lineside must be palletised and banded at minimum distance from the nearest running rail,good housekeeping in place to ensure nothing is stored in such a way that it will fall from height,works on station platforms in high street environment controlled by site keeper or barriers,hearing protection in place exclusion zones around driving activities ear defenders during multiple acoustic blankets to be used on nights to reduce noise pollution use of a pedroller to compact tarmacstone and other manual tools over mechanical vehicles to have engines switched off when not in use,ensure tools are properly stored,mobile telephones to be switched off unless required for safety critical management duties,support staff will set up the ssow in accordance with rule book task leader setting up a safe system of work within a possession be aware of the operational railway,coshh to be stored in coshh approved area storage containers,do not leave coshh with medium risk unattended,coshh assessments to be completed for all products on site,ensure there is room for the task and adopt a comfortable stance,records to be kept of utilities found on site and new services installed on site,mark up and support if necessary,permit to break ground process completed by site agent or buried services coordinator no mechanical tools or machines within 500mm of buried services,ppe to be worn as recommended by coshh assessment,all excavations to be assessed by the site engineer supervisor and batteredandstepped as necessary in accordance with tw design if required,do not disturb if encountered,exclusion zone established around the damage cable,hearing protection in place exclusion zones around driving activities ear defenders during multiple acoustic blankets to be used on nights to reduce noise pollution use of a pedroller to compact tarmacstone and other manual tools over mechanical vehicles to have engines switched off when not in use,permit to break ground process completed by site agent or buried services coordinator no mechanical tools or machines within mm of buried services,only licensed vehicles on public highway care around parked cars no plant to park on pavements caution to be exercised when at crossings and pavements banksman control at site entrances,min 2 m briefings to be signed by the person giving the brief operatives receiving briefings to give authority for name to be placed onto the signing on area one person per car person per pick up excellent hygiene all operatives to be briefed on the covid project continuity plan"
cleaning,"nesting birds,nesting birds,nesting birds,nesting birds","visual checks to be carried out daily,obtain advise prior to starting works that may have an impact on nesting birds this includes devegetation and noisy works,report any findings immediately,where possible work outside of breeding seasons"
clearing vegetation,"nesting birds,nesting birds,nesting birds,nesting birds,nesting birds, deliveries,deliveries,collision with live process equipment,collision with private vehicles and pedestrians,collision with live process equipment,deliveries,persons struck by vehiclesandplant after leaving vehicle,collision with live process equipment,interaction with third parties on site access road,driving in unauthorised areas of site,deliveries,persons struck by vehiclesandplant after leaving vehicle,driving in unauthorised areas of site,deliveries,persons struck by vehiclesandplant after leaving vehicle","obtain advise prior to starting works that may have an impact on nesting birds this includes devegetation and noisy works,visual checks to be carried out daily,report any findings immediately,where possible work outside of breeding seasons,toolbox talk to be delivered to all personnel on site, the wagon will then leave the site all the activities above will be under the supervision of a banksman,delivery driver to sign in and where the correct ppe,works to be fully supervised and confined to specific work areas,erect appropriate signage to bring vehicles into the site existing pull off area in front of gates utilised to prevent vehicles parking on the road,authorisation required from site management to enter restricted areas if required,notify the week before the delivery is due to take place,all persons to wear full ppe – safety boots hiviz clothing helmet gloves,site remains a live operational site,signage will be erected at the start of the access road to read ‘caution construction traffic’,car park areas to be clearly identified,hiab wagon will bring larger items to site these will be unloaded in the designated area and fenced off until they are required,persons not to walk in operational areas unless unavoidable,clear signage to direct vehicles to designated areas,where possible we can use site storage for these items,follow designated pedestrian footpath from car park and compound area"
commissioning recirculation plant and systems,"electricity,lifting injury,infections leptospirosis,slips trips and falls,slips trips and falls,plant entrapment,plant movements,unauthorised valve operations,electric shock","permit to enter in operation keys to kiosk controlled by commissioning engineers,correct training experienced personnel and competency,use waterproof plasters on all cuts personnel to be hygienic and wash all cuts and abrasions,working area must be kept clean and tidy,only access routes detailed in site induction shall be permitted,no removal of guards without secondary risk assessment and control measures,adherence to walkways inductions to site movements daily toolbox talks,valve schedule used signs posted on valves,permit control adherence to electrical safety rules"
concrete — concrete and fixing of rebar,"cement burns exposure to cement,cement burns exposure to cement","wash off any spills on skin immediately operators to wear waterproof gloves when handling concrete as well as mandatory safety glasses,always cover exposed skin areas when handling concrete"
confined space entry asbestos survey in service reservoir,contamination of water supply,all personnelandoperatives accessing site shall hold a national water hygiene card
construction strain press breaking out,"slips trips and falls, damage to skin water contact mechanical lifting,damage to skin water contact mechanical lifting,damage to skin water contact mechanical lifting,slips trips and falls, personal injury,personal injury,slips trips and falls","all trip hazards removed immediately, contaminated clothing gloves etc to be removed replaced and disposed of correctly,skin to be protected by barrier cream before gloves and arm protection are put on then washed off immediately before eating,operatives to wear correct impervious gloves and correct puncture resistance gloves to protect skin,all trip hazards removed immediately, always use correct manual handling techniques when lifting loads you are capable of lifting do not exceed 20kg,always use mechanical aids where possible,all trip hazards removed immediately"
construction works  brush cutting prior to ecological survey,operative exposed to excessive hand arm vibration havs,operatives to check havs chart and locate allowed daily exposure time if exposure time is longer than allowed then operatives are to rotate trigger time to minimize exposure to hand arm vibration
