Cutting of pipework Road Crossing & laying in verge Water Mains,Dust inhalation,FFP-3 face masks to be worn by operatives when cutting and dust suppression water bottle to be used
RAM Pump Adoption,Operatives struck by heavy plant. Heavy plant & general construction activities, Plant to be operated by qualified CPCS operatives only
contact tank & pumping station underslab pipework & ducts, falls from height / edge protection, ladders shall be visually inspected before each use and weekly with the inspection recorded on a laddertag remove mud and soils from boots before using ladders
lone working," contamination of soils, groundwater and watercourses spills of fuels etc",provide spill kits use correct fuel containers provide drip trays for mobile plant use bunded fuel and oil stores
service trial holes, manual handling small plant and materials, the area must be kept clear of any debris
contact tank & pumping station underslab pipework & ducts, leptospirosis, refrain from smoking during working times and wash your hands thoroughly before meal and toilet breaks
"excavation, shutters, mesh and concrete", damage to services, the service might look ok but can cause a hazard later for other workers
"excavation, shutters, mesh and concrete", existing services., report to site manager and follow the emergence procedures
constructing a concrete plinth to cap off storage pipe risers, use of cutting equipment, ensure blades have the correct speed rating for the machine and are reinforced
excavate trial holes," local landscape, ecological features and inhabitants pollution/damage to ecological features and inhabitants due to use of hazardous substances", substances shall not be used if there is no label on the container
 excavation works," contamination of soil, watercourse, and ground water hydraulic, engine oil, petrol", all containers must be purpose made with tops in place and secure
constructing a concrete plinth to cap off storage pipe risers," local landscape, ecological features and inhabitants pollution/damage to ecological features and inhabitants due to use of hazardous substances"," where exposure monitoring has been identified as a control measure on the coshh assessment, people shall not be exposed to the substance"
constructing a concrete plinth to cap off storage pipe risers, noise, use a less noisy process if possible
camera survey of 350mm washwater main that passes under poly dosing plant, plant operations / movements,agreed traffic routes to be used (tmp) hi visibility clothing to be worn at all times banksman to be designated and used use pedestrian routes toolbox talk on ‘thumbs up’ procedure segregate working areas from non essential personnel
use of cutting equipment and drills, falls from height," ladders must be tied near the top and extend a safe distance above the landing stage, unless a hand-hold is provided"
use of cutting equipment and drills, use of portable hand held tools, electric power tools should be regularly inspected and maintained by a competent electrician
use of cutting equipment and drills, use of portable hand held tools, site operatives must switch off and unplug appliances before cleaning or adjusting them
use of cutting equipment and drills, use of portable hand held tools, consider the effects that your work may be having on other people
use of cutting equipment and drills, use of portable hand held tools, only 110-volt tools are permitted on site
site engineering & surveying including pre-start survey, placing pegs/stakes into the ground,proposed area to peg shall be cat scanned
trial holes, access and egress for emergence vehicles,deliveries to be ordered with set dates and times to reduce the risk of blocking up of the access
280mm pe sdr11 rising main installation., cut or trap fingers using hydraulic torque and/or impact wrench, do not exceed agreed torque settings
280mm pe sdr11 rising main installation., excavations, if the access to a battered excavation is steeper than 1:4 steps must be provided
digging trial holes for connection points,"leaking hydraulic, engine oil, petrol", funnels must be used when topping up large and small plant oil levels
pile cropping and blinding, base slab cut off levels / pitching level,"inspection mark out required by engineer experienced operatives check pitching level of pile, position of pile quality risk and all inspection, test plan check have been carried out and recorded"
Interaction between personnel including movement between Projects and Offices,Possible contamination of surfaces/areas and person to person,Maintain a good personal hygiene
gas check area entry," conflict with clients staff, contractors, members of public", road traffic laws adhered too at all times
gas check area entry, weather conditions, in woodland areas beware of overhead trees/branches falling
gas check area entry, loading & unloading of materials, materials must be stored in designated areas
gas check area entry, local landscape blown litter, ensure good housekeeping
Break Times,Contracting and spread of Covid 19 disease,"Do not congregate around singular tables, space out where possible in the drying room & canteen"
Personnel returning from abroad who may have contracted / been exposed to virus,Person may have Covid 19,"If you live with others and you or one of them have symptoms of coronavirus, then all household members must stay at home and not leave the house for 14 days"
excavate trench to allow the installation of temporary electric cables," slips, trips, and falls", trial hole excavation to be fenced off in accordance with on site safety procedures – excavations (pedestrian barrier)
Excavator Use ,Lost load or bucket to quick hitch failure,Safety in earthmoving machinery
Nitrogen Purging of Biogas Main,Asphyxiation unconsciousness, Personal gas monitors to be worn at all times
"Working Near Access Roads, Live Traffic",Local gas escape resulting in gas monitor alarming when splitting pipe flanges Gas escape," To prevent structure from being hit or damaged, install overhead structure and barrier off working areas"
 Gas Bag Area,"slip, fall", Overhangs are not to be created on high work faces
 removal of palisade fencing , slips trips and falls, stick to pedestrian routes at all times
Interaction between personnel including movement between Projects and Offices,Possible contamination of surfaces/areas and person to person," If you are not needed in the office, speak with your Line Manager regarding working from home arrangements Limit visits between sites if not critical"
280mm pe sdr11 rising main installation., over pumping, over pumping operations rams
site traffic & delivery plan, excessive speed,"site speed limit to be briefed at client and site inductions, 10mph"
retaining wall installation,refuelling plant,all fuel cans to be stored in a safe place to prevent a spark or fire funnels to be utilised as to ensure fuel is poured straight into tank avoiding spillages
whitelining,temporary storage materials striking a train,do not stack palletised materials in case they become unstable
muck away from satellite compounds,encountering damaged cables, avoidance of cables where practicable
whitelining,coronavirus covid ,briefings to be signed by the person giving the brief operatives receiving briefings to give authority for name to be placed onto the signing on area one person per car person per pick up excellent hygiene all operatives to be briefed on the covid project continuity plan
removal of spoil,mobile telephones,mobile telephones to be switched off unless required for safety critical management duties
removal of spoil,plant vehicle movements, trained competent operators and banksman
reduced level dig,staff being struck by a train or otm,pts trained workforce and supervision
reduced level dig,plant vehicle movements,close all access gates following deliveries
reduced level dig,refuelling plant,ensure only trained personnel are used to refill any plant on site appropriate ppe is worn at all times
installation of datum plates,working on or near the line,inexperienced staff will be accompanied by a mentor
installation of land drain,encountering damaged cables, avoidance of cables where practicable
installation of fence posts,coshh,do not leave coshh with medium risk unattended
installation of fence posts,coshh,exposure times as per coshh assessment states
